"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","932","login","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","1500","modal window","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","808","http response after click","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","1232","login","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","783","drag and drop","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","774","alert_confirm_prompt","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","727","check images on page","tests","2026-02-16","failed","2026-02-16","","test_1","",""
"","680","slider_params","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","828","hover","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","713","slider_params","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","789","http response after click","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","728","dropdown","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","712","slider_params","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","740","spell_check","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","763","test checkboxes","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","717","spell_check","tests","2026-02-16","failed","2026-02-16","","test_1","",""
"","875","upload","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","2766","modal window","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","692","slider_params","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","766","spell_check","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","773","http response after click","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","717","spell_check","tests","2026-02-16","failed","2026-02-16","","test_1","",""
"","798","http response after click","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","1675","jquery menu","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","30658","download","tests","2026-02-16","broken","2026-02-16","","test_1","",""
"","683","slider_params","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","968","login","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","1216","slider","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","935","add/remove elements","tests","2026-02-16","passed","2026-02-16","","test_1","",""
"","721","slider_params","tests","2026-02-16","passed","2026-02-16","","test_1","",""
